C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/03/2020,11:00:00,REGULAR,0006490282,0008673355                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/03/2020,15:00:00,REGULAR,0006490437,0008673561                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/03/2020,19:00:00,REGULAR,0006490991,0008673800                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/03/2020,23:00:00,REGULAR,0006491211,0008673921                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/04/2020,03:00:00,REGULAR,0006491246,0008673944                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/04/2020,07:00:00,REGULAR,0006491260,0008674056                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/04/2020,11:00:00,REGULAR,0006491421,0008674767                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/04/2020,15:00:00,REGULAR,0006491603,0008675000                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/04/2020,19:00:00,REGULAR,0006492182,0008675248                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/04/2020,23:00:00,REGULAR,0006492420,0008675387                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/05/2020,03:00:00,REGULAR,0006492457,0008675405                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/05/2020,07:00:00,REGULAR,0006492468,0008675520                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/05/2020,11:00:00,REGULAR,0006492652,0008676209                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/05/2020,15:00:00,REGULAR,0006492889,0008676432                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/05/2020,19:00:00,REGULAR,0006493469,0008676679                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/05/2020,23:00:00,REGULAR,0006493721,0008676828                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/06/2020,03:00:00,REGULAR,0006493753,0008676853                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/06/2020,07:00:00,REGULAR,0006493773,0008676977                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/06/2020,11:00:00,REGULAR,0006493965,0008677702                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/06/2020,15:00:00,REGULAR,0006494141,0008677886                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/06/2020,19:00:00,REGULAR,0006494678,0008678176                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/06/2020,23:00:00,REGULAR,0006494898,0008678327                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/07/2020,03:00:00,REGULAR,0006494931,0008678343                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/07/2020,07:00:00,REGULAR,0006494945,0008678454                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/07/2020,11:00:00,REGULAR,0006495076,0008679156                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/07/2020,15:00:00,REGULAR,0006495278,0008679400                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/07/2020,19:00:00,REGULAR,0006495794,0008679730                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,02/07/2020,23:00:00,REGULAR,0006496038,0008679871                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/01/2020,03:00:00,REGULAR,0006007504,0006826531                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/01/2020,07:00:00,REGULAR,0006007510,0006826562                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/01/2020,11:00:00,REGULAR,0006007557,0006826721                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/01/2020,15:00:00,REGULAR,0006007718,0006826832                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/01/2020,19:00:00,REGULAR,0006007936,0006826944                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/01/2020,23:00:00,REGULAR,0006008078,0006827009                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/02/2020,03:00:00,REGULAR,0006008114,0006827019                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/02/2020,07:00:00,REGULAR,0006008118,0006827037                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/02/2020,11:00:00,REGULAR,0006008168,0006827148                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/02/2020,15:00:00,REGULAR,0006008287,0006827244                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/02/2020,19:00:00,REGULAR,0006008457,0006827364                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/02/2020,23:00:00,REGULAR,0006008558,0006827403                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/03/2020,03:00:00,REGULAR,0006008580,0006827416                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/03/2020,07:00:00,REGULAR,0006008591,0006827532                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/03/2020,11:00:00,REGULAR,0006008748,0006828102                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/03/2020,15:00:00,REGULAR,0006008876,0006828219                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/03/2020,19:00:00,REGULAR,0006009381,0006828362                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/03/2020,23:00:00,REGULAR,0006009539,0006828442                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/04/2020,03:00:00,REGULAR,0006009563,0006828452                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/04/2020,07:00:00,REGULAR,0006009581,0006828585                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/04/2020,11:00:00,REGULAR,0006009776,0006829145                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,02/04/2020,15:00:00,REGULAR,0006009906,0006829290                                            
